YEAR,MONTH,DAY,HOUR,PRCP,,,,
2013,6,18,20,0,,,,
2013,6,18,21,0,,,,
2013,6,19,0,2,,,,
2013,6,25,23,0,,,,
2013,6,26,0,0,,,,
2013,6,26,18,5,,,,
2013,6,27,21,11,,,,
2013,6,27,22,12,,,,
2013,6,27,23,1,,,,
2013,6,28,0,0,,,,
2013,6,28,19,0,,,,
2013,6,28,20,0,,,,
2013,6,30,15,0,,,,
2013,6,30,16,0,,,,
